Day,Susceptible,Infected,Recovered,Reported_Cases,Beta_Effective,Season_Index
341,1369643156,186029,10020965,16375,0.184684462,1.15
342,1369625068,185407,10039411,18088,0.185500139,1.15
343,1369604722,185809,10059133,20346,0.187410148,1.15
344,1369586583,187538,10075309,18139,0.187936975,1.15
345,1369568361,185207,10095634,18222,0.189717976,1.15
346,1369549716,182046,10117239,18645,0.193156763,1.15
347,1369533405,178375,10137060,16311,0.195002028,1.15
348,1369520821,171914,10155938,12584,0.190745253,1.15
349,1369504853,169767,10173851,15968,0.189495818,1.15
350,1369487907,170233,10190133,16946,0.18664322,1.15
351,1369472317,169491,10206274,15590,0.184906257,1.15
352,1369457159,166614,10224134,15158,0.182682514,1.15
353,1369442015,161432,10244279,15144,0.179869525,1.15
354,1369428227,157097,10262257,13788,0.178665856,1.15
355,1369418163,148969,10280312,10064,0.176800061,1.15
356,1369404340,144187,10298755,13823,0.176775424,1.15
357,1369389117,143146,10314868,15223,0.178435695,1.15
358,1369374572,145135,10327261,14545,0.181325282,1.15
359,1369360316,143446,10343054,14256,0.183858989,1.15
360,1369345467,141375,10359819,14849,0.187495602,1.15
361,1369332264,139002,10375264,13203,0.189794887,1.15
362,1369323162,132966,10390285,9102,0.190204692,1.15
363,1369310473,130536,10405267,12689,0.190966509,1.15
364,1369298807,128442,10418904,11666,0.18630153,1.15
365,1369279952,137233,10428805,18855,0.199315283,1.15
366,1369266869,136508,10442476,13083,0.198484604,1.15
367,1369253817,134365,10457544,13052,0.196210979,1.15
368,1369242390,131260,10471958,11427,0.19380965,1.15
369,1369233755,125662,10486097,8635,0.19389854,1.15
370,1369222716,121879,10500809,11039,0.191716541,1.15
371,1369209817,121591,10513889,12899,0.196459358,1.15
372,1369197409,124940,10522828,12408,0.183575416,1.15
373,1369185696,124006,10535380,11713,0.18312058,1.15
374,1369173637,124448,10546919,12059,0.183592137,1.15
375,1369161806,117458,10565656,11831,0.186480031,1.15
376,1369152696,113501,10578645,9110,0.189871825,1.15
377,1369141629,111532,10591587,11067,0.192654897,1.15
378,1369128706,113027,10602907,12923,0.195546185,1.15
379,1369119397,113734,10611422,9309,0.189878644,1.15
380,1369107254,114830,10622366,12143,0.193629073,1.15
381,1369095060,114111,10635187,12194,0.196207148,1.15
382,1369083411,113346,10647511,11649,0.198229543,1.15
383,1369074290,110751,10659146,9121,0.199069105,1.15
384,1369062680,110296,10671111,11610,0.201179985,1.15
385,1369049799,111353,10682834,12881,0.201446189,1.15
386,1369036606,115426,10691857,13193,0.211849587,1.15
387,1369022613,118354,10702821,13993,0.216016685,1.15
388,1369008349,119697,10715652,14264,0.220145125,1.15
389,1368994150,124594,10724871,14199,0.224910562,1.15
390,1368983566,123038,10736933,10584,0.226201641,1.15
391,1368969824,124582,10749027,13742,0.228179218,1.15
392,1368953086,129634,10760575,16738,0.233241238,1.15
393,1368936509,137067,10769599,16577,0.235949979,1.135714286
394,1368920021,141933,10781108,16488,0.235682467,1.121428571
395,1368903269,145781,10793899,16752,0.234967226,1.107142857
396,1368887759,148075,10807009,15510,0.231446643,1.092857143
397,1368875473,146355,10820924,12286,0.230879262,1.09
398,1368860484,147086,10835084,14989,0.228210638,1.087142857
399,1368843077,150343,10849145,17407,0.223602925,1.084285714
400,1368826239,156604,10859609,16838,0.219032288,1.095714286
401,1368807912,161194,10873238,18327,0.218094932,1.107142857
402,1368789201,163180,10889863,18711,0.217536018,1.118571429
403,1368770602,165211,10906334,18599,0.219723742,1.13
404,1368755214,164125,10922731,15388,0.222655349,1.13
405,1368737293,165259,10939385,17921,0.224609789,1.13
406,1368714439,172566,10954806,22854,0.23035869,1.13
407,1368691154,183561,10966979,23285,0.236969084,1.13
408,1368666272,193422,10981860,24882,0.242308715,1.118571429
409,1368640952,201274,10999167,25320,0.246583817,1.107142857
410,1368614661,210706,11015908,26291,0.251382415,1.095714286
411,1368590169,216817,11034158,24492,0.258039309,1.084285714
412,1368561266,226954,11052736,28903,0.264990486,1.072857143
413,1368525395,244180,11071209,35871,0.2706891,1.061428571
414,1368485669,268481,11086480,39726,0.278691703,1.05
415,1368444716,291465,11104261,40953,0.283591043,1.05
416,1368400870,312421,11126954,43846,0.289223597,1.05
417,1368353919,335993,11150121,46951,0.294894453,1.05
418,1368313204,351758,11174872,40715,0.29632437,1.05
419,1368265942,373613,11200004,47262,0.2966357,1.05
420,1368212466,400719,11226123,53476,0.29234554,1.05
421,1368153348,435242,11250461,59118,0.287987043,1.05
422,1368091090,468494,11279176,62258,0.285261753,1.05
423,1368028376,495222,11314850,62714,0.280497407,1.05
424,1367960356,523437,11354364,68020,0.276782972,1.05
425,1367904145,538623,11395118,56211,0.272818388,1.05
426,1367850665,548178,11438689,53480,0.262721596,1.05
427,1367778335,573349,11485389,72330,0.259509768,1.05
428,1367696869,613888,11525847,81466,0.257954558,1.05
429,1367607740,655332,11572818,89129,0.258586819,1.05
430,1367514491,694904,11625982,93249,0.261030789,1.05
431,1367410933,739157,11684809,103558,0.264411074,1.05
432,1367313951,773706,11746796,96982,0.271291289,1.05
433,1367198215,826452,11809156,115736,0.285807346,1.05
434,1367071426,884995,11876717,126789,0.292016481,1.05
435,1366939458,960441,11932459,131968,0.294065011,1.05
436,1366794074,1052265,11985225,145384,0.295872059,1.05
437,1366641195,1132488,12057042,152879,0.296759853,1.05
438,1366472283,1219508,12138030,168912,0.296823761,1.05
439,1366310547,1291682,12226713,161736,0.297258831,1.05
440,1366126175,1382408,12319332,184372,0.295314156,1.05
441,1365925436,1479236,12422205,200739,0.29298108,1.05
442,1365708083,1599202,12518407,217353,0.29238753,1.05
443,1365473391,1717611,12633349,234692,0.291094113,1.05
444,1365211891,1851660,12759299,261500,0.293144579,1.05
445,1364938081,1992787,12890363,273810,0.292820379,1.05
446,1364678911,2105691,13034868,259170,0.292121022,1.05
447,1364383870,2246857,13186720,295041,0.291412741,1.05
448,1364069035,2391714,13354594,314835,0.28999612,1.05
449,1363736305,2561630,13515145,332730,0.287793989,1.05
450,1363389519,2722761,13698176,346786,0.284565446,1.05
