Day,Susceptible,Exposed,Infected,Recovered,Reported_Cases,Beta_Effective,Season_Index
0,0,0,15404,10939680,15510,0.0,1.05
1,0,0,27599,10939680,12286,0.0,1.066
2,0,0,42490,10939680,14989,0.0,1.0766666666666669
3,0,0,59808,10939680,17407,0.0,1.0842857142857143
4,0,15510,76533,10939680,16838,0.0,1.0957142857142859
5,0,12286,94752,10939680,18327,0.0,1.1071428571428572
6,0,14989,113363,10939680,18711,0.0,1.1185714285714285
7,0,17407,131971,10939574,18599,0.0,1.1300000000000001
8,0,16838,147373,10939483,15388,0.0,1.1300000000000001
9,0,18327,165259,10939385,17921,0.0,1.1300000000000001
10,0,18711,172566,10954806,22854,0.0,1.1300000000000001
11,0,18599,183561,10966979,23285,0.0,1.1300000000000001
12,0,15388,193422,10981860,24882,0.0,1.1185714285714288
13,0,17921,201274,10999167,25320,0.0,1.1071428571428572
14,0,22854,210706,11015908,26291,0.0,1.0957142857142856
15,0,23285,216817,11034158,24492,0.0,1.0842857142857143
16,0,24882,226954,11052736,28903,0.0,1.072857142857143
17,0,25320,244180,11071209,35871,0.0,1.0614285714285716
18,0,26291,268481,11086480,39726,0.0,1.05
19,0,24492,291465,11104261,40953,0.0,1.05
20,0,28903,312421,11126954,43846,0.0,1.05
21,0,35871,335993,11150121,46951,0.0,1.05
22,0,39726,351758,11174872,40715,0.0,1.05
23,0,40953,373613,11200004,47262,0.0,1.05
24,0,43846,400719,11226123,53476,0.0,1.05
25,0,46951,435242,11250461,59118,0.0,1.05
26,0,40715,468494,11279176,62258,0.0,1.05
27,0,47262,495222,11314850,62714,0.0,1.05
28,0,53476,523437,11354364,68020,0.0,1.05
29,0,59118,538623,11395118,56211,0.0,1.05
30,0,62258,548178,11438689,53480,0.0,1.05
31,0,62714,573349,11485389,72330,0.0,1.05
32,0,68020,613888,11525847,81466,0.0,1.05
33,0,56211,655332,11572818,89129,0.0,1.05
34,0,53480,694904,11625982,93249,0.0,1.05
35,0,72330,739157,11684809,103558,0.0,1.05
36,0,81466,773706,11746796,96982,0.0,1.05
37,0,89129,826452,11809156,115736,0.0,1.05
38,0,93249,884995,11876717,126789,0.0,1.05
39,0,103558,960441,11932459,131968,0.0,1.05
40,0,96982,1052265,11985225,145384,0.0,1.05
41,0,115736,1132488,12057042,152879,0.0,1.05
42,0,126789,1219508,12138030,168912,0.0,1.05
43,0,131968,1291682,12226713,161736,0.0,1.05
44,0,145384,1382408,12319332,184372,0.0,1.05
